"Klaster","kmd_M_min12","kmd_M_min11","kmd_M_min10","kmd_M_min9","kmd_M_min8","kmd_M_min7","kmd_M_min6","kmd_M_min5","kmd_M_min4","kmd_M_min3","kmd_M_min2","kmd_M_min1","tsd_M_min12","tsd_M_min11","tsd_M_min10","tsd_M_min9","tsd_M_min8","tsd_M_min7","tsd_M_min6","tsd_M_min5","tsd_M_min4","tsd_M_min3","tsd_M_min2","tsd_M_min1","tor_M_min12","tor_M_min11","tor_M_min10","tor_M_min9","tor_M_min8","tor_M_min7","tor_M_min6","tor_M_min5","tor_M_min4","tor_M_min3","tor_M_min2","tor_M_min1"
"k4_1",185352.864902149,178334.111851405,164442.401170761,177789.210297888,174743.880487536,178034.597629889,175364.97953845,170006.608005718,151536.925293555,158494.644865782,164539.402357828,170708.740909114,22909.980709398,23824.4392854048,23703.6563187526,23124.5068401908,23137.8554369858,22993.4221524471,23106.1205604158,25020.3106401037,22457.7930541362,22721.6118189693,23005.9898475951,23314.338180973,9.7763177998472,9.85721925133591,9.85630252100761,9.80320855614956,9.65500381971008,9.61741787624131,9.57486631015922,9.49373567608824,9.43284950343721,9.41757066462849,9.44056531703575,9.44759358288719
"k4_2",13408.7148851852,13817.2052901233,12412.0640555553,13190.9272617282,12506.8107395062,12776.1355370369,13170.0057283951,14534.2462938269,10789.0657814815,11204.7598950616,12188.9441280902,11796.0140089139,2314.78209199521,2421.35517801671,2445.50494026284,2371.36968339305,2357.9216875746,2357.98291397856,2413.21545937874,2490.62565770615,2333.95415890084,2349.84388590194,2382.15937931426,2410.29715835366,1.8031293901083,1.86532965169809,1.86198711427574,1.85210482972438,1.80739233638504,1.81635421208136,1.80283873467986,1.79891488640189,1.78070047958155,1.78229908443559,1.79019522356246,1.78748243956803
"k4_3",45751.0951278731,43814.8671895958,41208.2176240241,45328.6291839904,43658.0677564546,45096.0562914879,44426.510494199,44732.3037925014,34756.4820680136,36899.3816518321,39544.2776776427,40551.9464797774,7461.33551169514,7878.21127808266,7819.9478446435,7748.52516575223,7748.27825527005,7600.04805486585,7655.52632139779,8001.5888637021,7312.42269997092,7351.84264135115,7412.57036240418,7484.37648260871,4.40616891064993,4.48577723378068,4.49684210526423,4.47314565483535,4.36908200734342,4.32746634026873,4.29529987760025,4.24577723378229,4.18127294981529,4.14969400244925,4.16854345165186,4.18991432068605
"k4_4",37233.8385566615,37576.3647282508,35186.4740302496,36153.9915075351,37192.8421217571,38308.3130993947,38199.1829688272,46770.2006218359,34885.9147641574,34789.0502366574,37302.5601871635,37034.3371076989,9069.9904431296,9407.78891957055,9365.18764146384,9211.57476747749,9214.3822432612,9145.12910365971,9252.35381065093,10031.0332092918,9038.87757747075,9383.41993863705,9458.76069689914,9425.54715354284,3.48253461128877,3.49797657082043,3.49595314163954,3.4955981540649,3.47589634362731,3.47490237841652,3.47241746538831,3.4449769258073,3.42168974085938,3.42030528931458,3.43109691160777,3.41966631167847
"muu",246964.380966969,241838.827529918,221925.379392053,260195.314198181,262639.438822403,259012.477582576,250401.945528962,247040.989076114,226001.304652944,232576.732034467,242483.427516392,253737.477262408,47848.9016999051,50535.2121320039,49625.514957265,47891.7077967711,48865.0346248813,47993.7503228871,48418.9032193732,51903.3166096865,46876.9847910731,48289.3878869895,48536.5455025357,49084.1239783572,20.9370044052861,20.9497797356826,20.9277533039651,20.907488986784,20.7136563876653,20.6092511013219,20.5299559471364,20.4004405286346,20.3515418502199,20.3885462555068,20.4185022026432,20.5145374449335
NA,1078564.09736842,1027823.05315789,1117256.85421053,1005298.05105263,1087534.99368421,1070188.67105263,931569.874736842,1068530.03684211,1086531.22052632,1022128.76157895,1018350.83785563,1122864.5762172,206976.711818182,216297.049545455,207035.711818182,201100.000454545,202915.57,204398.868181818,207330.921818182,215816.172272727,215529.860454545,229364.726363636,218425.752272727,220137.565909091,81,81,81.1304347826087,81.1739130434783,80.695652173913,81.2173913043478,81.695652173913,81.6086956521739,82.304347826087,82.3478260869565,82.5217391304348,82.8695652173913
