"Klaster","kmd_M_min12","kmd_M_min11","kmd_M_min10","kmd_M_min9","kmd_M_min8","kmd_M_min7","kmd_M_min6","kmd_M_min5","kmd_M_min4","kmd_M_min3","kmd_M_min2","kmd_M_min1","tsd_M_min12","tsd_M_min11","tsd_M_min10","tsd_M_min9","tsd_M_min8","tsd_M_min7","tsd_M_min6","tsd_M_min5","tsd_M_min4","tsd_M_min3","tsd_M_min2","tsd_M_min1","tor_M_min12","tor_M_min11","tor_M_min10","tor_M_min9","tor_M_min8","tor_M_min7","tor_M_min6","tor_M_min5","tor_M_min4","tor_M_min3","tor_M_min2","tor_M_min1"
"k4_1",462416.590614125,454187.902692938,430319.271363213,450723.263222724,447879.798250011,454049.827720821,450170.055084272,441183.661108687,423005.481556133,429795.91210021,439131.06050331,446088.237179142,65508.2218861028,67160.2884111187,66764.7044122979,65527.5074090399,65621.2870829071,65438.4147529018,65566.5864324304,69600.1610623818,64311.6080772783,64934.1232279971,65922.6284650006,66785.9751024876,29.0759476377825,29.2193803154256,29.2475957718557,29.1618929966924,28.804368579547,28.764518274318,28.7434654849479,28.5888711404408,28.506064746059,28.4973691825832,28.5414162664545,28.525825314056
"k4_2",73973.873628272,72484.1239783333,62973.6580449136,64382.8119489719,67406.239966818,64144.3867762502,67326.4420876752,73269.3038185459,61025.8695584382,57991.9044485145,66885.0134009408,60146.5157746838,14697.4146747278,15044.3559201087,15169.4668099276,14719.66545023,14627.5851821061,14567.3342117872,14971.8621112851,15275.6903856297,14468.3191470262,14384.2761448414,14815.6382160013,15006.6492498334,7.2119957271223,7.47888419285114,7.51303424857437,7.55981052687703,7.1189806348274,7.22530674727202,7.10146115870367,7.08438860779312,6.98419683841645,6.97792153988816,7.01432619676449,7.06193168017232
"k4_3",178872.438526213,172900.105698022,164764.923759144,178229.776594445,173863.9371986,177802.992516227,177962.270181161,184905.512557326,157434.312097946,162226.282704545,170249.240235934,169631.300730454,27448.5805099648,28607.4252835373,28097.7751303787,27747.0875144607,27529.8481250811,27354.5957756888,27740.7029575966,29527.0990173547,27568.488423233,27487.7112001107,27783.6166201972,28194.1659565259,13.1606289890559,13.3615048060612,13.304663787544,13.2413047360191,12.961799026286,12.8769872438843,12.8883852792097,12.8737872178701,12.7607045896868,12.701563576193,12.7032315498799,12.7081910023073
"k4_4",164326.2026082,165565.731113376,158784.471806651,157587.581301208,166513.332825589,170083.460424298,167062.798027022,200168.023248349,161153.554188899,160633.736124409,169566.54436046,167241.36379333,37428.6312876349,38316.843987109,38242.5849802925,37666.2384749764,37680.1565390781,37267.9513599823,37728.2262922163,40099.9875450697,37395.1961759316,38453.4416375107,38758.8952744032,38523.125008315,13.4816611950127,13.6150324031943,13.6108307608199,13.5706072617938,13.5045378273244,13.4989619211381,13.5144641864794,13.4164306395448,13.3426375597812,13.3716600196592,13.3435887217023,13.3610776616932
"muu",568745.216543397,559304.923819975,532408.588855708,555268.938043786,558705.333864577,564990.804659249,563922.320686381,546050.423398851,538320.639166473,554327.228133902,560861.559086251,581075.346279931,99154.6790449381,101872.467495979,101624.146110387,98454.1278901629,98523.3997258036,98086.0304682933,99274.4682472785,103241.929542954,98074.708523448,100806.958821591,101605.79391102,102633.137355728,45.5987829298638,45.5827275229444,45.4529922542661,45.5650222521289,45.3728196374914,45.2449208997221,45.2292503504223,45.1325895429664,45.1776936772489,45.282810944497,45.3406110516451,45.3828871215091
NA,1176481.35222195,1140249.91417414,1171265.37010941,1115112.56816747,1167903.02702338,1123826.82317776,1076730.00380825,1165851.84718202,1151503.35460559,1110062.12645046,1138529.62333316,1174893.72438598,177717.248781988,177262.215390942,172143.799382993,171587.832588774,169315.705890403,168373.799340371,168626.100939133,171981.024496723,167208.701538752,175297.446890043,171636.071965819,167107.370708027,82.1982083414563,82.441714948419,82.0334213198422,81.9587768742273,81.5527909240995,81.6321886834416,82.0152063409356,82.002626970357,81.9137211186861,81.7043498873459,81.9111878057389,81.9957340064525
